Cast Vote Record,Precinct,Ballot Style,Presidential Electors (215),U.S. Senator (220),U.S. Representative in Congress Dist. 3 Dist 3 (225),U.S. Representative in Congress Dist. 4 Dist 4 (230),State Senator Dist. 4 (235),State Senator Dist. 13 (240),State Representative Dist 4 (245),,State Representative Dist 13 (252),,Corporation Commissioner (259),,,Board of Supervisors Dist 1 (268),Board of Supervisors Dist 2 (273),Board of Supervisors Dist 3 (278),Board of Supervisors Dist 4 (283),Board of Supervisors Dist 5 (288),County Assessor (293),County Attorney (298),County Recorder (303),County School Superintendent (308),County Sheriff (313),County Treasurer (318),Constable Prec. 3 (323),Retain Justice BRUTINEL (331),Retain Justice GOULD (338),Retain Justice LOPEZ IV (345),Retain Judge CAMPBELL (352),Retain Judge CRUZ (359),Judge of the Superior Court Div. 1 (366),Judge of the Superior Court Div. 2 (371),Judge of the Superior Court Div. 4 (376),Judge of the Superior Court Div. 6 (381),Board Member Gadsden ESD 32 (386),,Board Member Hospital Dist Brd 1 (393),,PROPOSITION 207 (403),PROPOSITION 208 (410),PROPOSITION 414 (417),PROPOSITION 415 (424),PROPOSITION 412 (431),PROPOSITION 413 (438),QUESTION 1 (445)
1756,PRECINCT 004,PRECINCT 004 4.02,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP SLOAN, ERIC (CND020)",undervote,undervote,"DEM PORCHAS, MARTIN (CND024)",,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)",undervote,NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
1757,PRECINCT 005,"PRECINCT 005 5.01, 5.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",undervote,,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","CLARIDGE, JEREMY (CND047)",YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
1758,PRECINCT 042,PRECINCT 042 42.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)",undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),NO (NO / NO),
1759,PRECINCT 006,"PRECINCT 006 6.03, 6.04",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP O'CONNOR, JAMES ""JIM"" (CND019)","DEM TOVAR, ANNA (CND023)",undervote,undervote,,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,undervote,undervote,"REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),NO (NO / NO),NO (NO / NO),,,
1760,PRECINCT 007,PRECINCT 007 7.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),,,
1761,PRECINCT 033,"PRECINCT 033 33.01, 33.02",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,undervote,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),undervote,undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,,,
1762,PRECINCT 033,"PRECINCT 033 33.01, 33.02",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)",,,,undervote,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,,,
1763,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1764,PRECINCT 035,PRECINCT 035 35.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)",undervote,,,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,,,,"DEM PANCRAZI, LYNNE (CND029)","REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1765,PRECINCT 040,PRECINCT 040,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",undervote,,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,undervote,undervote,undervote,,,,,"DEM PANCRAZI, LYNNE (CND029)",undervote,undervote,undervote,undervote,undervote,undervote,,undervote,undervote,undervote,undervote,undervote,"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)",undervote,undervote,,,undervote,undervote,undervote,YES (YES / SÍ),,,undervote,undervote,
1766,PRECINCT 015,PRECINCT 015,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,undervote,YES (YES / SÍ),,,undervote,undervote,
1767,PRECINCT 004,PRECINCT 004 4.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""",undervote,,,"DEM TOVAR, ANNA (CND023)",undervote,undervote,"DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),,,undervote,YES (YES / SÍ),
1768,PRECINCT 040,PRECINCT 040,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)",undervote,undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,"HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
1769,PRECINCT 005,"PRECINCT 005 5.01, 5.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",undervote,,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,NO (NO / NO),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1770,PRECINCT 004,PRECINCT 004 4.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HUTSELL, MARK (CND049)","CLARIDGE, JEREMY (CND047)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1771,PRECINCT 004,PRECINCT 004 4.02,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""",undervote,,,"DEM TOVAR, ANNA (CND023)",undervote,undervote,"DEM PORCHAS, MARTIN (CND024)",,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,undervote,undervote,YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1772,PRECINCT 013,PRECINCT 013 13.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"HIRTH, LOUIS (CND048)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1773,PRECINCT 013,PRECINCT 013 13.01,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,undervote,,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),undervote,undervote,undervote,undervote,,,"HIRTH, LOUIS (CND048)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,NO (NO / NO),YES (YES / SÍ),
1774,PRECINCT 010,"PRECINCT 010 10.01, 10.02",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","URIBE, CONNIE (CND051)",YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1775,PRECINCT 016,"PRECINCT 016 16.01, 16.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP OSBORNE, JOANNE (CND016)","REP DUNN, TIMOTHY ""TIM"" (CND015)","REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)",undervote,NO (NO / NO),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
1776,PRECINCT 040,PRECINCT 040,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM MUNDELL, WILLIAM ""BILL"" (CND021)","DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)",,,,,"DEM PANCRAZI, LYNNE (CND029)","REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,"HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",NO (NO / NO),YES (YES / SÍ),,,NO (NO / NO),NO (NO / NO),
1777,PRECINCT 013,PRECINCT 013 13.01,REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,"REP ANGRY, TRAVIS (CND010)",,"REP JOHN, JOEL (CND013)",undervote,,,"REP MARQUEZ PETERSON, LEA (CND018)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)",,"REP LINES, JONATHAN W. (CND025)",,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),NO (NO / NO),"SORENSON, NATHANIEL (CND038)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"CANNELL, ROBERT (CND046)","URIBE, CONNIE (CND051)",NO (NO / NO),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
1778,PRECINCT 009,"PRECINCT 009 9.02, 9.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",,"DEM DiSANTO, DELINA (CND009)",,undervote,,,"REP OSBORNE, JOANNE (CND016)","DEM SANDOVAL, MARIANA (CND017)","REP SLOAN, ERIC (CND020)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),undervote,undervote,"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"URIBE, CONNIE (CND051)","CANNELL, ROBERT (CND046)",YES (YES / SÍ),NO (NO / NO),,,undervote,undervote,
1779,PRECINCT 014,PRECINCT 014,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,,"REP KERR, SINE (CND012)",,,"DEM SANDOVAL, MARIANA (CND017)",undervote,"DEM TOVAR, ANNA (CND023)",undervote,undervote,,"REP LINES, JONATHAN W. (CND025)",,,,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)","REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)",undervote,YES (YES / SÍ),YES (YES / SÍ),,,YES (YES / SÍ),YES (YES / SÍ),
1780,PRECINCT 041,PRECINCT 041,DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)","DEM GRIJALVA, RAÚL (CND007)",,"DEM OTONDO, LISA (CND011)",,"DEM FERNANDEZ, CHARLENE (CND014)","DEM PETEN, GERALDINE ""GERAE""",,,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,,,"DEM PANCRAZI, LYNNE (CND029)","DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"DEM MARTINEZ, MARK (CND036)","DEM PANCRAZI MORENO, ANGELA (CND037)",,NO (NO / NO),NO (NO / NO),NO (NO / NO),NO (NO / NO),YES (YES / SÍ),"REEVES, MARK (CND039)",undervote,undervote,undervote,,,undervote,undervote,YES (YES / SÍ),NO (NO / NO),,,YES (YES / SÍ),YES (YES / SÍ),
1781,PRECINCT 005,"PRECINCT 005 5.01, 5.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,"REP KERR, SINE (CND012)",,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)","REP O'CONNOR, JAMES ""JIM"" (CND019)","REP SLOAN, ERIC (CND020)","REP MARQUEZ PETERSON, LEA (CND018)",undervote,,,,,"REP MORRIS CLARKSON, VICTORIA (CND030)",undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,,,undervote,undervote,undervote,NO (NO / NO),,,undervote,undervote,
1782,PRECINCT 032,"PRECINCT 032 32.01, 32.02, 32.03",DEM BIDEN / HARRIS (CND002),"DEM KELLY, MARK (CND005)",Write-in,,"DEM OTONDO, LISA (CND011)",,"DEM PETEN, GERALDINE ""GERAE""","DEM FERNANDEZ, CHARLENE (CND014)",,,"DEM STANFIELD, SHEA (CND022)","DEM TOVAR, ANNA (CND023)","DEM MUNDELL, WILLIAM ""BILL"" (CND021)",,,,"DEM REYES, MARCO A. (TONY) (CND027)",,"DEM ALEXANDRE, DAVID (CND031)","DEM SMITH, JON R. (CND032)",undervote,undervote,"REP WILMOT, LEON (CND035)","DEM PANCRAZI MORENO, ANGELA (CND037)",,YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),YES (YES / SÍ),"REEVES, MARK (CND039)","FARRAR, R. ERIN (CND040)","HAWS, DAVID (CND041)","KINSEY, BRANDON S. (CND042)",,,"JAUREGUI, MARIO (CND050)","CANNELL, ROBERT (CND046)",NO (NO / NO),NO (NO / NO),,,,,
1783,PRECINCT 005,"PRECINCT 005 5.01, 5.03",REP TRUMP / PENCE (CND001),"REP McSALLY, MARTHA (CND004)","REP WOOD, DANIEL (CND006)",,,undervote,,,"REP DUNN, TIMOTHY ""TIM"" (CND015)","REP OSBORNE, JOANNE (CND016)",undervote,undervote,undervote,undervote,,,,,undervote,undervote,"REP STALLWORTH POUQUETTE, ROBYN (CND033)","REP TYREE, THOMAS (TOM) (CND034)","REP WILMOT, LEON (CND035)",undervote,,undervote,undervote,undervote,undervote,undervote,undervote,undervote,"HAWS, DAVID (CND041)",undervote,,,undervote,undervote,NO (NO / NO),NO (NO / NO),,,NO (NO / NO),NO (NO / NO),
